emission,fr,N20,N40,N80,N160,N320,first_N_reaching_0.80
negative_binomial,2.0,0.467,0.542,0.525,0.471,0.5,
negative_binomial,5.0,0.533,0.475,0.529,0.583,0.625,
negative_binomial,10.0,0.579,0.583,0.546,0.654,0.704,
negative_binomial,20.0,0.596,0.562,0.633,0.729,0.8,320.0
negative_binomial,40.0,0.604,0.75,0.742,0.854,0.879,160.0
poisson,2.0,0.517,0.608,0.533,0.458,0.558,
poisson,5.0,0.567,0.533,0.517,0.508,0.658,
poisson,10.0,0.558,0.55,0.608,0.667,0.808,320.0
poisson,20.0,0.542,0.683,0.792,0.842,0.85,160.0
poisson,40.0,0.658,0.817,0.85,0.9,0.975,40.0
