claim_id,manuscript_value,source_file,file_value,match,note
R1,recovery >80% needs N>=160-320 pooled at FR>=20Hz (sigma=0.4),results/phase1_recovery_sweep.csv,"FR20: N160=84%, N320=85%; FR40: N80=85%; FR10: N320=81% -> >=80% first at N>=160/FR>=20 (or N>=80/FR>=40)",Y,sweep generator uses GEN_SIGMA=0.4; mean over step+ramp
R2,"sigma=0.4 recovery: N160/FR20 ~83%, N320 ~89%",results/ramp_validation_robustness.csv,"sigma=0.4,K=50: N160/FR20=83%, N320/FR20=89%",Y,matches the sigma-validation run; original phase1_recovery_sweep.csv gives 84%/85% (consistent within MC noise)
R3,sigma=1.0 true-ramp recovery -> ~chance (50%),results/ramp_validation_robustness.csv,"true-ramp,sigma=1.0,K=50,FR20: N160=50%, N320=57%, N40=38%",Y,N160/FR20 = exactly 50% (chance)
R4,Poisson fitter -> chance under overdispersion; matched NB -> ~75-80%,results/phase1_recovery_overdispersion.csv + phase1_recovery_matched_nb.csv,Poisson fit by fano 1.0/1.5/2/3 = 77/56/51/50%; matched-NB fit = 79/75/79/80%; Poisson fit (matched run) = 75/51/50/50%,Y,Poisson collapses to ~chance at fano>=1.5; matched NB stays 75-80%
R5,"grid K robust ~83-89% across K in {25,50,75}",results/ramp_validation_robustness.csv,"N160/FR20/sigma0.4: K25=89%, K50=83%, K75=88%",Y,"NB: phase1_recovery_validation.json grid_convergence is a DIFFERENT metric (deliberative-window pool, K30-100 -> 72-74%), not this 83-89%"
R6,ramp forward LL vs brute-force max|diff| ~2e-14,(none),"NOT in any results file; value only in docs/ramp_validation.md + console (B 2.1e-14, A 1.9e-14)",NOT_FOUND,FLAG: headline validation number not persisted; reconcile.csv stores transmat/LL diffs but not the brute-force check
R7,hmmlearn cross-check at K=50 -> 0.0 diff,(none),NOT in any results file; ramp K=50 hmmlearn diff only in docs/ramp_validation.md + console,NOT_FOUND,"FLAG: phase1_recovery_validation.json hmmlearn_check is the STEPPING side (abs_diff 2.27e-13), NOT the ramp K=50 0.0"
C1,"207 insertions, 91 sessions, 1620 high-FR cells",results/phase2_sel_cells_full.csv + phase2_sel_region_full.csv,cells=1620 (rows; sum raw_hiFR=1620) OK; sessions=91 (unique eid) OK; insertions=105 (unique pid) != 207,N,FLAG: '207 insertions' NOT FOUND in results - cells_full has 105 unique insertions; 207 is likely the SEARCHED count (not persisted). cells & sessions match
C2,DLC available for ~95% of sessions/cells,results/phase2_sel_cells_full.csv,has_dlc True = 94.7% of cells (= dlc_cells/raw_hiFR 94.7% in region_full),Y,rounds to ~95%
C3,body movement strips ~19% beyond wheel,results/phase2_sel_cells_full.csv,"on DLC & sig_raw cells (n=281): survive wheel-only=150, wheel+body=120 -> strip (150-120)/150 = 20%",Y,derived (not stored as a value); 20% computed vs ~19% claimed (rounding/subset definition)
C4,triple-filtered candidates = 59 uncorrected,results/phase2_sel_region_full.csv,"sum(triple)=59 (GRN2, MRN29, SNr3, SCm17, IRN8)",Y,per-region breakdown present
C5,region-wise FDR -> 0 survive in every region,results/audit_cascade_fdr.csv,triple_fdr = 0 for all 8 region/dataset rows (IBL GRN/MRN/SNr/SCm/IRN; Steinmetz MRN/SC/SNr),Y,also stim_surv_fdr=0 everywhere (the binding filter)
E1,"IBL MRN +0.059 SD, 95% CI [+0.001,+0.117], p=0.034",results/audit_pooled_effects.csv,"eff=0.0589, ci_lo=0.00128, ci_hi=0.1166, mwu_p_descriptive=0.0338 (n_cells=356, decorrelated)",Y,p is descriptive/pseudoreplicated; cell-clustered bootstrap CI is the inference
E2,"Steinmetz MRN +0.095 SD, 95% CI [+0.050,+0.139]",results/audit_pooled_effects.csv,"eff=0.0946, ci_lo=0.0497, ci_hi=0.1390 (n_cells=223, equal-contrast)",Y,"also in steinmetz_choicestim_region.csv (0.0946 [0.0507,0.1383])"
E3,Steinmetz MRN debiased choice AUC ~0.535,results/steinmetz_gate.csv,per-cell AUC (finite-sample debiased) = 0.5349,Y,raw (un-debiased) equal-contrast AUC = 0.6025 in same file
E4,"decode after nonlinear movement control: IBL MRN ~0.528 (p~0.057), Steinmetz MRN ~0.541 (p~0.095)",results/audit_realtrial_decode.csv,MRN mode=expanded: IBL cv_auc=0.5279 perm_p=0.0574; Steinmetz cv_auc=0.5414 perm_p=0.0948,Y,real-trial per-session CV; 'none' mode = 0.615/0.651; pseudo-trial decode was 0.79/0.92
E5,identifiability/gate bar ~0.24 SD ~ choice AUC 0.57,results/steinmetz_gate.csv,bar column: pooled decision effect (SD) bar=0.24; per-cell AUC rows bar=0.57,Y,the 0.24 SD <-> 0.57 AUC mapping is the gate threshold
