stepiness,N,fr,step_won
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,1
0.0,160,20.0,1
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,1
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,1
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.0,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,1
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,1
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,1
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,1
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.15,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,1
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,1
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,1
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,1
0.3,160,20.0,0
0.3,160,20.0,1
0.3,160,20.0,0
0.3,160,20.0,1
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,0
0.3,160,20.0,1
0.4,160,20.0,1
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,1
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,1
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,1
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,0
0.4,160,20.0,1
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,1
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,1
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,1
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,1
0.5,160,20.0,0
0.5,160,20.0,1
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,1
0.5,160,20.0,1
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.5,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,1
0.6,160,20.0,1
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,1
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,1
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,1
0.6,160,20.0,0
0.6,160,20.0,1
0.6,160,20.0,0
0.6,160,20.0,1
0.6,160,20.0,1
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,1
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,1
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,0
0.6,160,20.0,1
0.7,160,20.0,1
0.7,160,20.0,0
0.7,160,20.0,1
0.7,160,20.0,1
0.7,160,20.0,0
0.7,160,20.0,1
0.7,160,20.0,0
0.7,160,20.0,1
0.7,160,20.0,1
0.7,160,20.0,1
0.7,160,20.0,1
0.7,160,20.0,0
0.7,160,20.0,1
0.7,160,20.0,0
0.7,160,20.0,1
0.7,160,20.0,0
0.7,160,20.0,0
0.7,160,20.0,0
0.7,160,20.0,1
0.7,160,20.0,1
0.7,160,20.0,0
0.7,160,20.0,0
0.7,160,20.0,0
0.7,160,20.0,0
0.7,160,20.0,1
0.7,160,20.0,1
0.7,160,20.0,1
0.7,160,20.0,1
0.7,160,20.0,0
0.7,160,20.0,1
0.7,160,20.0,0
0.7,160,20.0,0
0.7,160,20.0,0
0.7,160,20.0,0
0.7,160,20.0,1
0.7,160,20.0,0
0.7,160,20.0,1
0.7,160,20.0,1
0.7,160,20.0,1
0.7,160,20.0,0
0.85,160,20.0,0
0.85,160,20.0,0
0.85,160,20.0,1
0.85,160,20.0,0
0.85,160,20.0,0
0.85,160,20.0,0
0.85,160,20.0,1
0.85,160,20.0,0
0.85,160,20.0,0
0.85,160,20.0,1
0.85,160,20.0,1
0.85,160,20.0,1
0.85,160,20.0,0
0.85,160,20.0,0
0.85,160,20.0,1
0.85,160,20.0,1
0.85,160,20.0,1
0.85,160,20.0,1
0.85,160,20.0,1
0.85,160,20.0,1
0.85,160,20.0,0
0.85,160,20.0,1
0.85,160,20.0,1
0.85,160,20.0,0
0.85,160,20.0,0
0.85,160,20.0,0
0.85,160,20.0,1
0.85,160,20.0,1
0.85,160,20.0,0
0.85,160,20.0,1
0.85,160,20.0,0
0.85,160,20.0,0
0.85,160,20.0,0
0.85,160,20.0,0
0.85,160,20.0,1
0.85,160,20.0,0
0.85,160,20.0,1
0.85,160,20.0,1
0.85,160,20.0,1
0.85,160,20.0,0
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,0
1.0,160,20.0,0
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,0
1.0,160,20.0,1
1.0,160,20.0,0
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,0
1.0,160,20.0,1
1.0,160,20.0,0
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,0
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,0
1.0,160,20.0,1
1.0,160,20.0,1
1.0,160,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,1
0.0,320,20.0,0
0.0,320,20.0,1
0.0,320,20.0,0
0.0,320,20.0,1
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,1
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,1
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,1
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,1
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.0,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,1
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.15,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,1
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,1
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,1
0.3,320,20.0,1
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,1
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,1
0.3,320,20.0,1
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.3,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,1
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,1
0.4,320,20.0,0
0.4,320,20.0,1
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.4,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,1
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,1
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.5,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,1
0.6,320,20.0,1
0.6,320,20.0,1
0.6,320,20.0,1
0.6,320,20.0,0
0.6,320,20.0,1
0.6,320,20.0,1
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,1
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,1
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,1
0.6,320,20.0,1
0.6,320,20.0,0
0.6,320,20.0,1
0.6,320,20.0,0
0.6,320,20.0,0
0.6,320,20.0,1
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,1
0.7,320,20.0,1
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,1
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,1
0.7,320,20.0,1
0.7,320,20.0,0
0.7,320,20.0,1
0.7,320,20.0,0
0.7,320,20.0,1
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,1
0.7,320,20.0,0
0.7,320,20.0,1
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,0
0.7,320,20.0,0
0.85,320,20.0,1
0.85,320,20.0,1
0.85,320,20.0,0
0.85,320,20.0,1
0.85,320,20.0,1
0.85,320,20.0,0
0.85,320,20.0,0
0.85,320,20.0,0
0.85,320,20.0,0
0.85,320,20.0,1
0.85,320,20.0,1
0.85,320,20.0,1
0.85,320,20.0,1
0.85,320,20.0,0
0.85,320,20.0,0
0.85,320,20.0,0
0.85,320,20.0,0
0.85,320,20.0,0
0.85,320,20.0,0
0.85,320,20.0,0
0.85,320,20.0,0
0.85,320,20.0,1
0.85,320,20.0,1
0.85,320,20.0,0
0.85,320,20.0,1
0.85,320,20.0,1
0.85,320,20.0,1
0.85,320,20.0,1
0.85,320,20.0,1
0.85,320,20.0,0
0.85,320,20.0,0
0.85,320,20.0,1
0.85,320,20.0,1
0.85,320,20.0,1
0.85,320,20.0,1
0.85,320,20.0,1
0.85,320,20.0,1
0.85,320,20.0,1
0.85,320,20.0,1
0.85,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,0
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
1.0,320,20.0,1
