metric,contrast_pct,n,median_ms,p10_ms,p25_ms,p75_ms,p90_ms,IQR_ms,IDR_ms,QCD,CV,frac_gt_200ms,frac_gt_500ms
reaction_time,ALL,42836,177.85206087205907,47.32403901039106,79.92450221360059,847.9823152412109,3406.7241860994955,768.0578130276103,3359.4001470891044,0.8277316197916762,2.7072148517718873,0.46243813614716595,0.29802035670930993
reaction_time,0.0,4592,219.1110494951758,47.092755849780595,88.42019555902425,1179.6376869645578,3574.4015600381854,1091.2174914055336,3527.308804188405,0.8605423352078253,2.569210517639398,0.5237369337979094,0.3471254355400697
reaction_time,6.25,5793,186.55180163159457,45.221186827075144,82.62619912926539,619.5008980037073,3139.203008046391,536.874698874442,3093.981821219316,0.7646403351568208,3.009564038810757,0.4736751251510444,0.2753322976005524
reaction_time,12.5,5898,159.63174328271634,42.95962005977572,78.03434799734532,372.20610649643504,2433.597219365726,294.1717584990897,2390.63759930595,0.6533658971845085,3.3019379949475622,0.40420481519159035,0.21617497456765006
reaction_time,25.0,6909,141.87788073809315,41.9002600524891,72.04179597141547,267.9318159396189,1694.7156170203,195.89001996820343,1652.8153569678109,0.5761918369695843,3.4366908011952866,0.3391228831958315,0.16500217108119844
reaction_time,100.0,12906,164.60592531859675,47.923154229877696,76.67124793334068,908.9735188384793,3485.789956871656,832.3022709051386,3437.8668026417786,0.8444241769081692,2.6582427423226083,0.44219742755307606,0.3017976135130947
response_latency,ALL,57559,456.2999999998283,219.29999999997563,281.60000000002583,1457.199999999716,4603.939999999878,1175.5999999996902,4384.639999999902,0.6760984587070765,2.294919863601671,0.9318438471828906,0.4628468180475686
response_latency,0.0,6553,561.0000000001492,233.73999999998887,306.6000000000031,2224.199999999655,5940.620000000015,1917.599999999652,5706.8800000000265,0.757705073494512,2.119571296276525,0.9450633297726232,0.5367007477491226
response_latency,6.25,8300,461.64999999984957,225.0900000000911,291.4750000000481,1264.3749999999727,4587.840000000144,972.8999999999246,4362.750000000053,0.6253173506442855,2.499092715881933,0.9336144578313254,0.4636144578313253
response_latency,12.5,8337,408.9999999999918,218.58782548424642,273.89999999996917,822.0999999998639,3610.240000000004,548.1999999998948,3391.6521745157575,0.500182481751805,2.5953385507078126,0.928871296629483,0.4032625644716325
response_latency,25.0,9458,366.3000000003649,211.20000000013874,260.22500000010496,640.0000000003274,2712.480000000007,379.77500000022246,2501.279999999868,0.4218667555333834,2.7233523443956975,0.9211249735673503,0.3363290336223303
response_latency,100.0,16784,428.1499999996754,211.00000000008095,269.19999999995525,1411.3249999999198,4363.099999999988,1142.1249999999645,4152.099999999907,0.6796239270466369,2.2712850776023017,0.9227240228789323,0.44363679694947566
