metric,contrast_pct,rt_bin,n,accuracy,wilson_lo,wilson_hi
reaction_time,0.0,<150,1738,0.6271576524741082,0.6041662306336263,0.6495881865303684
reaction_time,0.0,150-300,897,0.5529542920847269,0.5202599173228905,0.5851970242748333
reaction_time,0.0,300-500,363,0.6005509641873278,0.5493656163680096,0.6496303535547034
reaction_time,0.0,500-1000,365,0.5835616438356165,0.5323737338246308,0.6330089128182642
reaction_time,0.0,1000-2000,389,0.583547557840617,0.5339744239699907,0.631486667727019
reaction_time,0.0,>2000,840,0.5345238095238095,0.5007106312671794,0.568022647585155
reaction_time,6.25,<150,2378,0.7342304457527334,0.7161080349860068,0.7515972901707964
reaction_time,6.25,150-300,1394,0.8098995695839312,0.7884602714581889,0.8296355127851761
reaction_time,6.25,300-500,422,0.7061611374407583,0.6609961787787721,0.7476064565673283
reaction_time,6.25,500-1000,379,0.6490765171503958,0.5997492099750414,0.6954120264214213
reaction_time,6.25,1000-2000,378,0.5714285714285714,0.5210675747769133,0.620352322897934
reaction_time,6.25,>2000,824,0.5618932038834952,0.5278061196877425,0.5954058570962221
reaction_time,12.5,<150,2771,0.8408516780945507,0.8267603717699862,0.8539992074434725
reaction_time,12.5,150-300,1388,0.8804034582132565,0.8622736851393232,0.8964333401428641
reaction_time,12.5,300-500,431,0.7795823665893271,0.7380718795372405,0.8161529232415184
reaction_time,12.5,500-1000,266,0.706766917293233,0.6494252722110142,0.7582212878449592
reaction_time,12.5,1000-2000,297,0.6262626262626263,0.5699565993296549,0.6793440293068104
reaction_time,12.5,>2000,675,0.6444444444444445,0.607608147095124,0.6796459045127917
reaction_time,25.0,<150,3119,0.8980442449503045,0.8869303532460218,0.90817881911802
reaction_time,25.0,150-300,1529,0.9254414650098103,0.9111819236285725,0.9375685278205529
reaction_time,25.0,300-500,349,0.8424068767908309,0.800477976483349,0.8768797953893553
reaction_time,25.0,500-1000,235,0.8085106382978723,0.7534005429146431,0.8536963782247228
reaction_time,25.0,1000-2000,218,0.6788990825688074,0.6142821034266795,0.7373201208630841
reaction_time,25.0,>2000,560,0.6410714285714286,0.6005041190063299,0.6797164252032496
reaction_time,100.0,<150,3655,0.9463748290013679,0.938591508662678,0.9532208070166887
reaction_time,100.0,150-300,1333,0.9392348087021756,0.925104050916021,0.9508411620396501
reaction_time,100.0,300-500,278,0.8705035971223022,0.8259311901930992,0.9049758157279572
reaction_time,100.0,500-1000,171,0.8421052631578947,0.7800177796254218,0.8891593498449101
reaction_time,100.0,1000-2000,146,0.7671232876712328,0.6922530963410887,0.8282966041426221
reaction_time,100.0,>2000,369,0.6639566395663956,0.6142905526085871,0.7102440486805394
response_latency,0.0,<150,142,0.5422535211267606,0.46027373664348054,0.6220073134821353
response_latency,0.0,150-300,1412,0.6055240793201133,0.5797781268264752,0.6306973952940784
response_latency,0.0,300-500,1481,0.5948683322079676,0.5696513372502392,0.6195944381913971
response_latency,0.0,500-1000,1103,0.5838621940163191,0.554530304524106,0.6126119496159624
response_latency,0.0,1000-2000,680,0.5514705882352942,0.5139038367698353,0.588459049606191
response_latency,0.0,>2000,1735,0.5256484149855908,0.5021210966750632,0.5490624038807091
response_latency,6.25,<150,198,0.6414141414141414,0.57250470857074,0.7049405752557854
response_latency,6.25,150-300,2007,0.7359242650722472,0.7161997722847853,0.7547473177296645
response_latency,6.25,300-500,2243,0.775300936246099,0.7575652125106973,0.792095253095779
response_latency,6.25,500-1000,1525,0.7508196721311475,0.728498257288027,0.7718805916391607
response_latency,6.25,1000-2000,696,0.6479885057471264,0.611781913538014,0.6825704084731381
response_latency,6.25,>2000,1613,0.5542467451952883,0.529889311439424,0.5783463994675689
response_latency,12.5,<150,211,0.7014218009478673,0.6365193190135904,0.7591210039033865
response_latency,12.5,150-300,2416,0.8617549668874173,0.847416255064788,0.874945076354591
response_latency,12.5,300-500,2331,0.864006864006864,0.8494909070726517,0.8773249934149873
response_latency,12.5,500-1000,1496,0.8161764705882353,0.7957467611290304,0.8349865109711699
response_latency,12.5,1000-2000,544,0.7040441176470589,0.6643620249096462,0.7408645953397106
response_latency,12.5,>2000,1265,0.607905138339921,0.5807127523019016,0.6344441278003903
response_latency,25.0,<150,201,0.7313432835820896,0.666147334186446,0.7878620076659901
response_latency,25.0,150-300,2888,0.9144736842105263,0.9037151726255755,0.9241309998618802
response_latency,25.0,300-500,2512,0.9287420382165605,0.9180134629984839,0.9381612659669646
response_latency,25.0,500-1000,1364,0.8958944281524927,0.8785597465452191,0.9110053609935486
response_latency,25.0,1000-2000,421,0.7244655581947743,0.6799020209720792,0.7649696676761133
response_latency,25.0,>2000,1057,0.6338694418164617,0.604390578495372,0.6623787488009933
response_latency,100.0,<150,269,0.8029739776951673,0.7513188413166904,0.8460973884664513
response_latency,100.0,150-300,3571,0.9669560347241669,0.9605730638443042,0.9723354040441751
response_latency,100.0,300-500,2455,0.9482688391038696,0.9387859853346577,0.9563509767209705
response_latency,100.0,500-1000,1071,0.9197012138188608,0.9018854817927343,0.9345168308829195
response_latency,100.0,1000-2000,323,0.8018575851393189,0.7549502098332479,0.8416690699646725
response_latency,100.0,>2000,669,0.648729446935725,0.6117997654199763,0.6839607820848154
