N_cells,N_trials,fano,gscale,n,recovery,se,rec_step,rec_ramp
243,200,2.0,0.0,120,0.5,0.04564354645876384,0.0,1.0
10,25,2.0,0.015,48,0.6041666666666666,0.07058524774394487,0.5,0.7083333333333334
15,25,2.0,0.015,48,0.5416666666666666,0.07191776103197216,0.5,0.5833333333333334
15,50,2.0,0.015,48,0.5208333333333334,0.07210610992116384,0.4583333333333333,0.5833333333333334
15,100,2.0,0.015,48,0.4166666666666667,0.07115938031916387,0.375,0.4583333333333333
15,200,2.0,0.015,48,0.5625,0.071602745233685,0.4583333333333333,0.6666666666666666
15,320,2.0,0.015,48,0.5208333333333334,0.07210610992116384,0.5416666666666666,0.5
30,25,2.0,0.015,48,0.625,0.06987712429686843,0.5833333333333334,0.6666666666666666
30,50,2.0,0.015,48,0.6458333333333334,0.06903088663913556,0.5416666666666666,0.75
30,100,2.0,0.015,48,0.4791666666666667,0.07210610992116384,0.4166666666666667,0.5416666666666666
30,200,2.0,0.015,48,0.4375,0.071602745233685,0.5,0.375
30,320,2.0,0.015,48,0.4166666666666667,0.07115938031916387,0.5,0.3333333333333333
60,25,2.0,0.015,48,0.6875,0.06690225301388088,0.5,0.875
60,50,2.0,0.015,48,0.5625,0.071602745233685,0.5,0.625
60,100,2.0,0.015,48,0.5625,0.071602745233685,0.5,0.625
60,200,2.0,0.015,48,0.7291666666666666,0.0641421986177471,0.7916666666666666,0.6666666666666666
60,320,2.0,0.015,48,0.6041666666666666,0.07058524774394487,0.7083333333333334,0.5
120,25,2.0,0.015,48,0.6875,0.06690225301388088,0.5416666666666666,0.8333333333333334
120,50,2.0,0.015,48,0.7083333333333334,0.06560570704059439,0.6666666666666666,0.75
120,100,2.0,0.015,48,0.5833333333333334,0.07115938031916388,0.4583333333333333,0.7083333333333334
120,200,2.0,0.015,48,0.7916666666666666,0.05861785769491019,0.7916666666666666,0.7916666666666666
120,320,2.0,0.015,48,0.8958333333333334,0.04409175381666768,0.875,0.9166666666666666
243,25,2.0,0.015,120,0.6666666666666666,0.04303314829119352,0.7,0.6333333333333333
243,50,2.0,0.015,120,0.7083333333333334,0.0414926923508046,0.7666666666666667,0.65
243,100,2.0,0.015,120,0.8666666666666667,0.031031644541708755,0.8833333333333333,0.85
243,200,2.0,0.015,120,0.8916666666666667,0.028372113982779845,0.8166666666666667,0.9666666666666667
243,320,2.0,0.015,120,0.875,0.030190368221227996,0.8333333333333334,0.9166666666666666
486,100,2.0,0.015,48,0.8541666666666666,0.05094236371917087,0.8333333333333334,0.875
80,120,2.0,0.2,80,1.0,0.0,1.0,1.0
