eid,n_delib,n_left,n_right
037d75ca-c90a-43f2-aca6-e86611916779,49,22,27
03cf52f6-fba6-4743-a42e-dd1ac3072343,24,17,7
03d9a098-07bf-4765-88b7-85f8d8f620cc,9,2,7
04749a70-ac63-477d-8392-d4d529184fab,39,15,24
07dc4b76-5b93-4a03-82a0-b3d9cc73f412,28,10,18
0841d188-8ef2-4f20-9828-76a94d5343a4,6,2,4
09394481-8dd2-4d5c-9327-f2753ede92d7,2,0,2
0c828385-6dd6-4842-a702-c5075f5f5e81,137,65,72
10fac7a1-919d-4ca7-83c4-4675bd8d9416,6,0,6
11163613-a6c9-4975-9586-84dc00481547,34,9,25
111c1762-7908-47e0-9f40-2f2ee55b6505,9,0,9
14127fdb-2e66-4823-b124-f49c128ba94d,68,30,38
158d5d35-a2ab-4a76-87b0-51048c5d5283,31,21,10
15f742e1-1043-45c9-9504-f1e8a53c1744,4,0,4
16693458-0801-4d35-a3f1-9115c7e5acfd,128,82,46
16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1,77,38,39
1928bf72-2002-46a6-8930-728420402e01,72,56,16
195443eb-08e9-4a18-a7e1-d105b2ce1429,12,9,3
19b44992-d527-4a12-8bda-aa11379cb08c,9,4,5
1a507308-c63a-4e02-8f32-3239a07dc578,15,1,14
1b61b7f2-a599-4e40-abd6-3e758d2c9e25,4,0,4
1b9e349e-93f2-41cc-a4b5-b212d7ddc8df,49,12,37
1ca83b26-30fc-4350-a616-c38b7d00d240,35,17,18
1dbba733-24a4-4400-9436-53f1bd8428e8,12,7,5
1e45d992-c356-40e1-9be1-a506d944896f,164,65,99
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,9,5,4
21d21fc3-4201-4edc-802a-c67b61952548,7,4,3
22e04698-b974-4805-b241-3b547dbf37bf,37,27,10
239cdbb1-68e2-4eb0-91d8-ae5ae4001c7a,9,3,6
239dd3c9-35f3-4462-95ee-91b822a22e6b,95,36,59
251ece37-7798-477c-8a06-2845d4aa270c,22,9,13
25d1920e-a2af-4b6c-9f2e-fc6c65576544,45,40,5
26aa51ff-968c-42e4-85c8-8ff47d19254d,15,14,1
28338153-4113-485b-835b-91cb96d984f2,55,41,14
283ecb4c-e529-409c-9f0a-8ea5191dcf50,108,48,60
29a6def1-fc5c-4eea-ac48-47e9b053dcb5,46,34,12
2bdf206a-820f-402f-920a-9e86cd5388a4,19,9,10
2e22c1fc-eec6-4856-85a0-7dba8668f646,21,15,6
2e6e179c-fccc-4e8f-9448-ce5b6858a183,58,22,36
2f63c555-eb74-4d8d-ada5-5c3ecf3b46be,23,18,5
30e5937e-e86a-47e6-93ae-d2ae3877ff8e,45,19,26
32d27583-56aa-4510-bc03-669036edad20,5,0,5
35eeb752-8f4f-4040-9714-ba0f5b7ccdfe,117,58,59
36573e0b-ddd6-4504-94ec-9a23c877486c,42,7,35
37e96d0b-5b4b-4c6e-9b29-7edbdc94bbd0,23,7,16
3bcb81b4-d9ca-4fc9-a1cd-353a966239ca,73,38,35
3d59aa1a-b4ba-47fe-b9cf-741b5fdb0c7b,20,13,7
3dd347df-f14e-40d5-9ff2-9c49f84d2157,30,20,10
3e6a97d3-3991-49e2-b346-6948cb4580fb,40,35,5
3e7ae7c0-fe8b-487c-9354-036236fa1010,19,13,6
41431f53-69fd-4e3b-80ce-ea62e03bf9c7,24,19,5
45ef6691-7b80-4a43-bd1a-85fc00851ae8,66,46,20
46794e05-3f6a-4d35-afb3-9165091a5a74,107,66,41
49e0ab27-827a-4c91-bcaa-97eea27a1b8d,73,46,27
4a45c8ba-db6f-4f11-9403-56e06a33dfa4,12,10,2
4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,107,30,77
4ddb8a95-788b-48d0-8a0a-66c7c796da96,20,12,8
4e560423-5caf-4cda-8511-d1ab4cd2bf7d,185,101,84
5139ce2c-7d52-44bf-8129-692d61dd6403,26,9,17
51e53aff-1d5d-4182-a684-aba783d50ae5,2,0,2
537677fe-1e24-4755-948c-fa4a4e8ecce5,0,0,0
54238fd6-d2d0-4408-b1a9-d19d24fd29ce,24,20,4
5437ec1f-6535-470c-80b8-4c8806ee085d,43,14,29
549caacc-3bd7-40f1-913d-e94141816547,18,11,7
5522ac4b-0e41-4c53-836a-aaa17e82b9eb,43,22,21
56b57c38-2699-4091-90a8-aba35103155e,23,9,14
571d3ffe-54a5-473d-a265-5dc373eb7efc,52,13,39
58c4bf97-ec3b-45b4-9db4-d5d9515d5b00,32,12,20
5ae68c54-2897-4d3a-8120-426150704385,3,1,2
5c0c560e-9e1f-45e9-b66e-e4ee7855be84,91,47,44
5d01d14e-aced-4465-8f8e-9a1c674f62ec,5,4,1
61caa69d-088b-465a-b9d0-d75341dabac6,70,34,36
6274dda8-3a59-4aa1-95f8-a8a549c46a26,26,14,12
62ff920c-2fdd-4feb-9d9f-0d66f2e595a1,28,21,7
671c7ea7-6726-4fbe-adeb-f89c2c8e489b,26,12,14
687017d4-c9fc-458f-a7d5-0979fe1a7470,48,26,22
68775ca0-b056-48d5-b6ae-a4c2a76ae48f,5,0,5
6a601cc5-7b79-4c75-b0e8-552246532f82,6,4,2
6ab9d98c-b1e9-4574-b8fe-b9eec88097e0,6,2,4
6bf810fd-fbeb-4eea-9ea7-b6791d002b22,85,37,48
6c6b0d06-6039-4525-a74b-58cfaa1d3a60,11,5,6
6cf2a88a-515b-4f7f-89a2-7d53eab9b5f4,75,43,32
71e55bfe-5a3a-4cba-bdc7-f085140d798e,36,26,10
7235b10c-6621-44ea-abe9-01559633472d,24,11,13
746d1902-fa59-4cab-b0aa-013be36060d5,20,11,9
75b6b132-d998-4fba-8482-961418ac957d,9,1,8
7939711b-8b4d-4251-b698-b97c1eaa846e,63,36,27
7af49c00-63dd-4fed-b2e0-1b3bd945b20b,18,10,8
7cb81727-2097-4b52-b480-c89867b5b34c,35,21,14
7cc74598-9c1b-436b-84fa-0bf89f31adf6,64,21,43
7cec9792-b8f9-4878-be7e-f08103dc0323,27,9,18
7eeb8423-49e6-4d40-ab6f-703d17af231a,121,58,63
85dc2ebd-8aaf-46b0-9284-a197aee8b16f,45,19,26
86b6ba67-c1db-4333-add0-f8105ea6e363,221,147,74
88224abb-5746-431f-9c17-17d7ef806e6a,40,28,12
89f0d6ff-69f4-45bc-b89e-72868abb042a,31,21,10
8a3a0197-b40a-449f-be55-c00b23253bbf,20,9,11
8b1f4024-3d96-4ee7-95f9-8a1dfd4ce4ef,24,12,12
8c552ddc-813e-4035-81cc-3971b57efe65,38,0,38
8db36de1-8f17-4446-b527-b5d91909b45a,23,14,9
90c61c38-b9fd-4cc3-9795-29160d2f8e55,71,66,5
90d1e82c-c96f-496c-ad4e-ee3f02067f25,16,5,11
90e524a2-aa63-47ce-b5b8-1b1941a1223a,170,71,99
91796ceb-e314-4859-9a1f-092f85cc846a,49,28,21
91bac580-76ed-41ab-ac07-89051f8d7f6e,10,5,5
93ad879a-aa42-4150-83e1-38773c9785e4,28,14,14
9468fa93-21ae-4984-955c-e8402e280c83,100,46,54
948fd27b-507b-41b3-bdf8-f9f5f0af8e0b,27,20,7
952870e5-f2a7-4518-9e6d-71585460f6fe,56,29,27
9545aa05-3945-4054-a5c3-a259f7209d61,11,5,6
97c1d08d-57b4-4595-8052-91eb84ebfd74,87,29,58
98e0074c-706a-40e5-bbb5-223f97585a99,10,5,5
993c7024-0abc-4028-ad30-d397ad55b084,53,25,28
9b528ad0-4599-4a55-9148-96cc1d93fb24,47,32,15
9eec761e-9762-4897-b308-a3a08c311e69,20,19,1
9fe512b8-92a8-4642-83b6-01158ab66c3c,28,22,6
a2b9fbbe-79fc-4166-a16e-b307813a2f06,69,48,21
a2ec6341-c55f-48a0-a23b-0ef2f5b1d71e,28,12,16
a66f1593-dafd-4982-9b66-f9554b6c86b5,10,8,2
a6fe44a8-07ab-49b8-81f9-e18575aa85cc,2,0,2
a71175be-d1fd-47a3-aa93-b830ea3634a1,22,14,8
a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,50,13,37
a7eba2cf-427f-4df9-879b-e53e962eae18,2,2,0
a92c4b1d-46bd-457e-a1f4-414265f0e2d4,23,13,10
aa20388b-9ea3-4506-92f1-3c2be84b85db,11,10,1
aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,88,77,11
aec5d3cc-4bb2-4349-80a9-0395b76f04e2,4,1,3
b182b754-3c3e-4942-8144-6ee790926b58,18,9,9
b22f694e-4a34-4142-ab9d-2556c3487086,42,29,13
b52182e7-39f6-4914-9717-136db589706e,39,20,19
b69b86be-af7d-4ecf-8cbf-0cd356afa1bd,10,7,3
b887df2c-bb9c-44c9-a9c0-538da87b2cab,64,56,8
b9c205c3-feac-485b-a89d-afc96d9cb280,85,44,41
bb099402-fb31-4cfd-824e-1c97530a0875,55,21,34
bb8d9451-fdbd-4f46-b52e-9290e8f84d2e,25,9,16
c02e5155-8e8f-427e-873d-d61490bbb9c3,4,2,2
c4432264-e1ae-446f-8a07-6280abade813,130,58,72
c46b8def-620d-4d70-9397-be5694255f73,40,13,27
c728f6fd-58e2-448d-aefb-a72c637b604c,19,10,9
c8e11fd8-d130-4f06-abba-9aa20240ce7c,11,3,8
c958919c-2e75-435d-845d-5b62190b520e,62,37,25
ca4ecb4c-4b60-4723-9b9e-2c54a6290a53,19,17,2
caa5dddc-9290-4e27-9f5e-575ba3598614,19,12,7
cc45c568-c3b9-4f74-836e-c87762e898c8,34,21,13
cea755db-4eee-4138-bdd6-fc23a572f5a1,27,3,24
d23b005f-46f5-4fe1-870c-f55f6eb9533d,78,50,28
d3a2b25e-46d3-4f0b-ade6-4e32255f4c35,58,42,16
d57df551-6dcb-4242-9c72-b806cff5613a,38,19,19
d901aff5-2250-467a-b4a1-0cb9729df9e2,23,23,0
da188f2c-553c-4e04-879b-c9ea2d1b9a93,40,32,8
dc962048-89bb-4e6a-96a9-b062a2be1426,9,4,5
dd87e278-999d-478b-8cbd-b5bf92b84763,102,56,46
dda5fc59-f09a-4256-9fb5-66c67667a466,37,9,28
de905562-31c6-4c31-9ece-3ee87b97eab4,49,25,24
e012d3e3-fdbc-4661-9ffa-5fa284e4e706,51,47,4
e0928e11-2b86-4387-a203-80c77fab5d52,42,25,17
e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,21,42
e1931de1-cf7b-49af-af33-2ade15e8abe7,138,51,87
e2b845a1-e313-4a08-bc61-a5f662ed295e,57,24,33
e535fb62-e245-4a48-b119-88ce62a6fe67,60,22,38
e6594a5b-552c-421a-b376-1a1baa9dc4fd,110,64,46
e6bdb1f4-b0bf-4451-8f23-4384f2102f91,0,0,0
e8b4fda3-7fe4-4706-8ec2-91036cfee6bd,24,22,2
eacc49a9-f3a1-49f1-b87f-0972f90ee837,25,19,6
ecb5520d-1358-434c-95ec-93687ecd1396,6,4,2
edd22318-216c-44ff-bc24-49ce8be78374,62,27,35
ee212778-3903-4f5b-ac4b-a72f22debf03,15,15,0
eebacd5a-7dcd-4ba6-9dff-ec2a4d2f19e0,30,17,13
f10efe41-0dc0-44d0-8f26-5ff68dca23e9,75,53,22
f140a2ec-fd49-4814-994a-fe3476f14e66,7,3,4
f1db6257-85ef-4385-b415-2d078ec75df2,51,35,16
f27e6cd6-cdd3-4524-b8e3-8146046e2a7d,81,37,44
f304211a-81b1-446f-a435-25e589fe3a5a,19,15,4
f312aaec-3b6f-44b3-86b4-3a0c119c0438,97,51,46
f56194bc-8215-4ae8-bc6a-89781ad8e050,64,58,6
f819d499-8bf7-4da0-a431-15377a8319d5,8,4,4
f84045b0-ce09-4ace-9d11-5ea491620707,65,39,26
f8d5c8b0-b931-4151-b86c-c471e2e80e5d,74,43,31
fa1f26a1-eb49-4b24-917e-19f02a18ac61,47,45,2
fa704052-147e-46f6-b190-a65b837e605e,164,89,75
fc14c0d6-51cf-48ba-b326-56ed5a9420c3,88,67,21
fc43390d-457e-463a-9fd4-b94a0a8b48f5,7,5,2
fd03d365-91df-41e2-ad81-9e0e4b9f5c7b,51,36,15
fe1fd79f-b051-411f-a0a9-2530a02cc78d,103,70,33
fece187f-b47f-4870-a1d6-619afe942a7d,36,22,14
