dataset,scheme,region,hiFR,choice_fdr,move_indep_fdr,stim_indep_fdr,triple_fdr,control
IBL,dataset-wide BH,MRN,777,47,0,0,0,published(linear)
IBL,dataset-wide BH,SCm,427,27,0,0,0,published(linear)
IBL,dataset-wide BH,SNr,47,9,0,0,0,published(linear)
IBL,dataset-wide BH,GRN,184,7,0,0,0,published(linear)
IBL,dataset-wide BH,IRN,185,8,0,0,0,published(linear)
IBL,dataset-wide BH,ALL,1620,98,0,0,0,published(linear)
IBL,within-region BH,MRN,777,47,0,0,0,published(linear)
IBL,within-region BH,SCm,427,27,5,11,3,published(linear)
IBL,within-region BH,SNr,47,14,0,2,0,published(linear)
IBL,within-region BH,GRN,184,6,0,0,0,published(linear)
IBL,within-region BH,IRN,185,8,0,0,0,published(linear)
IBL,within-region BH,ALL,1620,102,5,13,3,published(linear)
Steinmetz,dataset-wide BH,MRN,223,60,23,0,0,published(linear)
Steinmetz,dataset-wide BH,SC,168,45,18,0,0,published(linear)
Steinmetz,dataset-wide BH,SNr,79,13,7,0,0,published(linear)
Steinmetz,dataset-wide BH,ALL,470,118,48,0,0,published(linear)
Steinmetz,within-region BH,MRN,223,65,24,0,0,published(linear)
Steinmetz,within-region BH,SC,168,45,18,0,0,published(linear)
Steinmetz,within-region BH,SNr,79,9,7,0,0,published(linear)
Steinmetz,within-region BH,ALL,470,119,49,0,0,published(linear)
IBL,dataset-wide BH,MRN,777,47,9,0,0,linear(recomputed)
IBL,dataset-wide BH,SCm,427,27,8,0,0,linear(recomputed)
IBL,dataset-wide BH,SNr,47,9,0,0,0,linear(recomputed)
IBL,dataset-wide BH,GRN,184,7,0,0,0,linear(recomputed)
IBL,dataset-wide BH,IRN,185,8,1,0,0,linear(recomputed)
IBL,dataset-wide BH,ALL,1620,98,18,0,0,linear(recomputed)
IBL,within-region BH,MRN,777,47,9,0,0,linear(recomputed)
IBL,within-region BH,SCm,427,27,8,11,4,linear(recomputed)
IBL,within-region BH,SNr,47,14,0,2,0,linear(recomputed)
IBL,within-region BH,GRN,184,6,0,0,0,linear(recomputed)
IBL,within-region BH,IRN,185,8,0,0,0,linear(recomputed)
IBL,within-region BH,ALL,1620,102,17,13,4,linear(recomputed)
Steinmetz,dataset-wide BH,MRN,223,60,20,0,0,linear(recomputed)
Steinmetz,dataset-wide BH,SC,168,45,16,0,0,linear(recomputed)
Steinmetz,dataset-wide BH,SNr,79,13,8,0,0,linear(recomputed)
Steinmetz,dataset-wide BH,ALL,470,118,44,0,0,linear(recomputed)
Steinmetz,within-region BH,MRN,223,65,23,0,0,linear(recomputed)
Steinmetz,within-region BH,SC,168,45,16,0,0,linear(recomputed)
Steinmetz,within-region BH,SNr,79,9,8,0,0,linear(recomputed)
Steinmetz,within-region BH,ALL,470,119,47,0,0,linear(recomputed)
IBL,dataset-wide BH,MRN,777,47,23,0,0,pca_expanded(frozen)
IBL,dataset-wide BH,SCm,427,27,15,0,0,pca_expanded(frozen)
IBL,dataset-wide BH,SNr,47,9,0,0,0,pca_expanded(frozen)
IBL,dataset-wide BH,GRN,184,7,5,0,0,pca_expanded(frozen)
IBL,dataset-wide BH,IRN,185,8,4,0,0,pca_expanded(frozen)
IBL,dataset-wide BH,ALL,1620,98,47,0,0,pca_expanded(frozen)
IBL,within-region BH,MRN,777,47,23,0,0,pca_expanded(frozen)
IBL,within-region BH,SCm,427,27,15,11,4,pca_expanded(frozen)
IBL,within-region BH,SNr,47,14,0,2,0,pca_expanded(frozen)
IBL,within-region BH,GRN,184,6,5,0,0,pca_expanded(frozen)
IBL,within-region BH,IRN,185,8,2,0,0,pca_expanded(frozen)
IBL,within-region BH,ALL,1620,102,45,13,4,pca_expanded(frozen)
Steinmetz,dataset-wide BH,MRN,223,60,29,0,0,pca_expanded(frozen)
Steinmetz,dataset-wide BH,SC,168,45,21,0,0,pca_expanded(frozen)
Steinmetz,dataset-wide BH,SNr,79,13,8,0,0,pca_expanded(frozen)
Steinmetz,dataset-wide BH,ALL,470,118,58,0,0,pca_expanded(frozen)
Steinmetz,within-region BH,MRN,223,65,30,0,0,pca_expanded(frozen)
Steinmetz,within-region BH,SC,168,45,21,0,0,pca_expanded(frozen)
Steinmetz,within-region BH,SNr,79,9,8,0,0,pca_expanded(frozen)
Steinmetz,within-region BH,ALL,470,119,59,0,0,pca_expanded(frozen)
IBL,dataset-wide BH,MRN,777,47,0,0,0,expanded(broken)
IBL,dataset-wide BH,SCm,427,27,0,0,0,expanded(broken)
IBL,dataset-wide BH,SNr,47,9,0,0,0,expanded(broken)
IBL,dataset-wide BH,GRN,184,7,0,0,0,expanded(broken)
IBL,dataset-wide BH,IRN,185,8,0,0,0,expanded(broken)
IBL,dataset-wide BH,ALL,1620,98,0,0,0,expanded(broken)
IBL,within-region BH,MRN,777,47,0,0,0,expanded(broken)
IBL,within-region BH,SCm,427,27,0,11,0,expanded(broken)
IBL,within-region BH,SNr,47,14,0,2,0,expanded(broken)
IBL,within-region BH,GRN,184,6,0,0,0,expanded(broken)
IBL,within-region BH,IRN,185,8,0,0,0,expanded(broken)
IBL,within-region BH,ALL,1620,102,0,13,0,expanded(broken)
Steinmetz,dataset-wide BH,MRN,223,60,12,0,0,expanded(broken)
Steinmetz,dataset-wide BH,SC,168,45,4,0,0,expanded(broken)
Steinmetz,dataset-wide BH,SNr,79,13,3,0,0,expanded(broken)
Steinmetz,dataset-wide BH,ALL,470,118,19,0,0,expanded(broken)
Steinmetz,within-region BH,MRN,223,65,12,0,0,expanded(broken)
Steinmetz,within-region BH,SC,168,45,0,0,0,expanded(broken)
Steinmetz,within-region BH,SNr,79,9,3,0,0,expanded(broken)
Steinmetz,within-region BH,ALL,470,119,15,0,0,expanded(broken)
