d,rho,control,auc,lo,hi
0.0,0.0,none,0.48275755621558414,0.4697209786300845,0.4957941338010838
0.0,0.0,linear,0.5069033909456424,0.49215584190715395,0.5216509399841308
0.0,0.0,expanded,0.4996780771478431,0.4928408924069741,0.5065152618887122
0.0,0.0,ridge_expanded,0.502116526678378,0.4893326303204105,0.5149004230363455
0.0,0.0,crossfit_expanded,0.4660793643110696,0.46065568277690533,0.4715030458452339
0.0,0.0,pca_expanded,0.5008784129247641,0.4867736663201743,0.5149831595293538
0.24,0.0,none,0.5875456059595859,0.5704995105584972,0.6045917013606746
0.24,0.0,linear,0.6144835577475297,0.6007983439277297,0.6281687715673298
0.24,0.0,expanded,0.5446515173118729,0.5373599822862658,0.55194305233748
0.24,0.0,ridge_expanded,0.6093775613347578,0.5927151283970888,0.6260399942724268
0.24,0.0,crossfit_expanded,0.4788730728200018,0.4738292055626207,0.4839169400773829
0.24,0.0,pca_expanded,0.6066223558647543,0.5902734709944459,0.6229712407350627
0.0,1.0,none,0.6195188808499095,0.6195188808499094,0.6195188808499096
0.0,1.0,linear,0.506279200238829,0.5062792002388289,0.5062792002388291
0.0,1.0,expanded,0.48336502987680596,0.48336502987680596,0.48336502987680596
0.0,1.0,ridge_expanded,0.5347884185351982,0.5347884185351981,0.5347884185351983
0.0,1.0,crossfit_expanded,0.4781043430127055,0.47810434301270544,0.47810434301270555
0.0,1.0,pca_expanded,0.5167263091076213,0.5167263091076212,0.5167263091076214
0.24,1.0,none,0.6705431150899664,0.6705431150899663,0.6705431150899666
0.24,1.0,linear,0.506279200238829,0.5062792002388289,0.5062792002388291
0.24,1.0,expanded,0.4766104947294138,0.47661049472941375,0.47661049472941386
0.24,1.0,ridge_expanded,0.5506831721773526,0.5506831721773526,0.5506831721773526
0.24,1.0,crossfit_expanded,0.48060177174610363,0.4806017717461036,0.4806017717461037
0.24,1.0,pca_expanded,0.5233368116222101,0.52333681162221,0.5233368116222102
0.0,0.493,none,0.5142133162056601,0.5064502289185022,0.521976403492818
0.0,0.493,linear,0.5029688432186783,0.4900533040860033,0.5158843823513534
0.0,0.493,expanded,0.4949785193768887,0.48786723806017607,0.5020898006936013
0.0,0.493,ridge_expanded,0.5025969585033404,0.4927902441931851,0.5124036728134956
0.0,0.493,crossfit_expanded,0.47057370575505697,0.46518103677871053,0.4759663747314034
0.0,0.493,pca_expanded,0.4985062319323789,0.48625625679515366,0.5107562070696042
0.06,0.493,none,0.5206360086409191,0.5123822009271513,0.5288898163546869
0.06,0.493,linear,0.5091607600675839,0.496394518456016,0.5219270016791518
0.06,0.493,expanded,0.4970823684147572,0.49034770973450637,0.5038170270950081
0.06,0.493,ridge_expanded,0.5093677528687597,0.49919585309324704,0.5195396526442724
0.06,0.493,crossfit_expanded,0.4726218304081137,0.46782210008721303,0.4774215607290143
0.06,0.493,pca_expanded,0.5055741609423727,0.49306800579385235,0.5180803160908931
0.12,0.493,none,0.5384924653884247,0.529229915068373,0.5477550157084763
0.12,0.493,linear,0.5248719177194213,0.5126722538267382,0.5370715816121044
0.12,0.493,expanded,0.5075380381262037,0.5002185828054335,0.5148574934469738
0.12,0.493,ridge_expanded,0.5275780521091628,0.5171067785168417,0.5380493257014838
0.12,0.493,crossfit_expanded,0.47500029422744033,0.46990604904177447,0.4800945394131062
0.12,0.493,pca_expanded,0.5220997180316249,0.5090069507837117,0.5351924852795381
0.18,0.493,none,0.5652283275726226,0.5549029234025016,0.5755537317427437
0.18,0.493,linear,0.5491586863855391,0.536842276282894,0.5614750964881842
0.18,0.493,expanded,0.5180074952153652,0.5110854159718853,0.524929574458845
0.18,0.493,ridge_expanded,0.5534297967390619,0.5427169930337374,0.5641426004443864
0.18,0.493,crossfit_expanded,0.47853199159623355,0.474046574805882,0.4830174083865851
0.18,0.493,pca_expanded,0.5463450213865023,0.5329858740412088,0.5597041687317958
0.24,0.493,none,0.5974645197255687,0.5865668967695371,0.6083621426816003
0.24,0.493,linear,0.5770590166814766,0.5649819025420698,0.5891361308208835
0.24,0.493,expanded,0.5299254495636173,0.5235780796749564,0.5362728194522782
0.24,0.493,ridge_expanded,0.5838022435605329,0.5732366717304092,0.5943678153906566
0.24,0.493,crossfit_expanded,0.48168797652102385,0.47717075609088866,0.48620519695115905
0.24,0.493,pca_expanded,0.5740832574547998,0.5610237991855352,0.5871427157240644
0.3,0.493,none,0.6307130602691087,0.6197481864602202,0.6416779340779971
0.3,0.493,linear,0.6060259142384697,0.5948219237841695,0.61722990469277
0.3,0.493,expanded,0.5446123526507175,0.5391568722388248,0.5500678330626102
0.3,0.493,ridge_expanded,0.6156988678839262,0.6049800661379887,0.6264176696298638
0.3,0.493,crossfit_expanded,0.4866582890455563,0.48210902464739425,0.49120755344371836
0.3,0.493,pca_expanded,0.6035839921230449,0.5910443667125506,0.6161236175335393
