dataset,region,control,auc,lo,hi,perm_p,pooled_sd,pooled_lo,pooled_hi,frozen
IBL,MRN,none,0.6149432031323208,0.5571863120215949,0.6715710703391714,0.01639344262295082,0.0588658234539174,0.0012809847007796639,0.11663177056320785,False
IBL,MRN,linear,0.5805305473059421,0.5391273542559107,0.6224255920868527,0.01639344262295082,-0.013126504773974298,-0.06746204978669483,0.040935337852476966,False
IBL,MRN,expanded,0.5279040684148412,0.5012272207374168,0.555235509707253,0.06557377049180328,-0.043611768467650816,-0.09889766893334355,0.012188377379244272,False
IBL,MRN,pca_expanded,0.5882817474525763,0.5361773814814542,0.6406872566210633,0.004975124378109453,0.007705600820204574,-0.047283054141543,0.06259172138818743,True
IBL,SCm,none,0.6190564950331479,0.5668461290192589,0.6715174317817054,0.01639344262295082,0.1437929781671241,0.0916392527243654,0.19871920491099043,False
IBL,SCm,linear,0.5427805349924852,0.49144098668608455,0.5962070674597878,0.03278688524590164,0.046483514102991785,-0.001910261509285847,0.09491904955970294,False
IBL,SCm,expanded,0.5027595747576401,0.47567947189006776,0.5328777646221811,0.4918032786885246,0.026010854917868025,-0.02500296262971157,0.07759670208670945,False
IBL,SCm,pca_expanded,0.5698671472347915,0.5160686136754994,0.6273199359644978,0.009950248756218905,0.10140482302309733,0.052453081974167384,0.15288170499280926,True
Steinmetz,MRN,none,0.6509056458778879,0.5893738210744887,0.7368365059917327,0.01639344262295082,0.09455165690529829,0.04971958820739415,0.13902359242321152,False
Steinmetz,MRN,linear,0.6207051067741126,0.5415397179486675,0.721501370171609,0.01639344262295082,0.0628118901262156,0.021267305588639124,0.10480838353293657,False
Steinmetz,MRN,expanded,0.5414376528392,0.5090596655423486,0.5694983494716124,0.09836065573770492,0.03206392512954734,-0.007486323090533588,0.07372325881198044,False
Steinmetz,MRN,pca_expanded,0.6269793395586395,0.5418545510769452,0.7360092361518693,0.009950248756218905,0.05648678571647941,0.012813222129623623,0.10108284014221922,True
