sess,mouse,date,n_neurons,n_regions,MRN_cells,SCm_cells,SNr_cells,GRN_cells,IRN_cells,MRN_hiFR,SCm_hiFR,SNr_hiFR,GRN_hiFR,IRN_hiFR,n_trials,n_go,n_nogo,n_err,n_equal,n_zero,n_decorr,has_wheel,has_face,has_pupil
0,Cori,2016-12-14,734,8,0,0,0,0,0,0,0,0,0,0,214,140,74,33,22,12,37,1,1,1
1,Cori,2016-12-17,1070,5,0,0,0,0,0,0,0,0,0,0,251,157,94,45,39,19,54,1,1,1
2,Cori,2016-12-18,619,11,41,0,0,0,0,20,0,0,0,0,228,151,77,47,50,29,59,1,1,1
3,Forssmann,2017-11-01,1769,11,0,0,0,0,0,0,0,0,0,0,249,123,126,18,17,7,24,1,1,1
4,Forssmann,2017-11-02,1077,10,0,0,0,0,0,0,0,0,0,0,254,150,104,35,39,18,49,1,1,1
5,Forssmann,2017-11-04,1169,5,0,0,0,0,0,0,0,0,0,0,290,198,92,45,36,17,57,1,1,1
6,Forssmann,2017-11-05,584,8,0,0,0,0,0,0,0,0,0,0,252,190,62,69,53,41,77,1,1,1
7,Hench,2017-06-15,1156,15,0,0,0,0,0,0,0,0,0,0,250,157,93,27,22,10,34,1,1,1
8,Hench,2017-06-16,788,12,0,0,0,0,0,0,0,0,0,0,372,238,134,40,34,19,46,1,1,1
9,Hench,2017-06-17,1172,13,72,23,0,0,0,7,4,0,0,0,447,292,155,86,66,42,99,1,1,1
10,Hench,2017-06-18,857,6,0,0,0,0,0,0,0,0,0,0,342,245,97,39,40,16,51,1,1,1
11,Lederberg,2017-12-05,698,12,0,0,0,0,0,0,0,0,0,0,340,276,64,75,76,58,90,1,1,1
12,Lederberg,2017-12-06,983,15,51,45,0,0,0,26,9,0,0,0,300,244,56,52,50,35,61,1,1,1
13,Lederberg,2017-12-07,756,10,72,48,0,0,0,17,3,0,0,0,268,207,61,65,53,41,70,1,1,1
14,Lederberg,2017-12-08,743,8,0,0,0,0,0,0,0,0,0,0,404,307,97,69,63,46,79,1,1,1
15,Lederberg,2017-12-09,474,6,0,0,0,0,0,0,0,0,0,0,280,206,74,53,42,30,60,1,1,1
16,Lederberg,2017-12-10,565,6,0,0,0,0,0,0,0,0,0,0,224,172,52,25,26,14,33,1,1,1
17,Lederberg,2017-12-11,1089,10,0,0,129,0,0,0,0,12,0,0,316,240,76,53,47,34,59,1,1,1
18,Moniz,2017-05-15,606,9,0,0,0,0,0,0,0,0,0,0,247,135,112,30,27,11,36,1,1,1
19,Moniz,2017-05-16,899,11,0,0,0,0,0,0,0,0,0,0,235,141,94,38,42,11,56,1,1,1
20,Moniz,2017-05-18,578,5,0,0,0,0,0,0,0,0,0,0,124,68,56,18,12,5,21,1,1,1
21,Muller,2017-01-07,646,10,112,0,0,0,0,34,0,0,0,0,444,329,115,100,112,72,124,1,1,1
22,Muller,2017-01-08,1268,6,0,0,0,0,0,0,0,0,0,0,151,86,65,14,15,7,19,1,1,1
23,Muller,2017-01-09,1337,9,80,0,0,0,0,1,0,0,0,0,187,104,83,28,26,15,36,1,1,1
24,Radnitz,2017-01-08,885,12,182,0,0,0,0,20,0,0,0,0,261,185,76,46,50,30,54,1,1,1
25,Radnitz,2017-01-09,1056,5,217,0,0,0,0,29,0,0,0,0,178,128,50,24,23,14,28,1,1,1
26,Radnitz,2017-01-10,563,11,0,0,0,0,0,0,0,0,0,0,253,172,81,57,49,36,61,1,1,1
27,Radnitz,2017-01-11,549,11,67,0,0,0,0,38,0,0,0,0,142,79,63,18,10,6,20,1,1,1
28,Radnitz,2017-01-12,750,3,0,0,0,0,0,0,0,0,0,0,128,64,64,9,13,4,14,1,1,1
29,Richards,2017-10-29,942,14,0,0,0,0,0,0,0,0,0,0,143,63,80,14,11,4,17,1,1,1
30,Richards,2017-10-30,977,8,0,41,117,0,0,0,5,40,0,0,237,161,76,34,35,17,40,1,1,1
31,Richards,2017-10-31,522,9,23,56,0,0,0,2,7,0,0,0,260,174,86,28,22,15,32,1,1,1
32,Richards,2017-11-01,613,9,0,0,15,0,0,0,0,8,0,0,191,134,57,34,26,19,36,1,1,1
33,Richards,2017-11-02,781,7,0,0,0,0,0,0,0,0,0,0,296,155,141,27,24,13,32,1,1,1
34,Tatum,2017-12-06,795,13,0,0,0,0,0,0,0,0,0,0,311,232,79,52,49,30,61,1,1,1
35,Tatum,2017-12-07,680,8,99,56,0,0,0,45,13,0,0,0,258,167,91,26,25,6,35,1,1,1
36,Tatum,2017-12-08,1055,9,0,87,0,0,0,0,14,0,0,0,181,116,65,16,14,5,20,1,1,1
37,Tatum,2017-12-09,805,6,0,0,45,0,0,0,0,15,0,0,199,126,73,28,20,14,31,1,1,1
38,Theiler,2017-10-11,1348,11,0,0,0,0,0,0,0,0,0,0,343,233,110,73,59,59,73,1,1,1
